# Frontend mirror dispositions — 2026-09-22

The original rows below were prepared in isolated worktree `lane/frontend-mirror-audit-20260922` from base `7f840c188d99b03c5583236807197dfce1779c5d`. Later redemption-history and Select keyboard-behavior rows were integrated separately and are included for completeness.

The original mirror lane changed only `frontend/**`; no `inferno-frontend/**`, backend, design-system token/component, lockfile, or generated output paths were changed. Its aggregate verification was 32 changed test files / 223 tests, ESLint, and Vue typecheck passed. The later redemption-history row is a separately tracked bounded cross-surface merge. Production builds remain a later serial gate.

Columns: upstream source SHA | candidate commit SHA | disposition | affected paths | evidence
source_sha	candidate_sha	disposition	affected_paths	evidence
aa556c372f85f0f5d41398d80d5972e53f708c16	7c9627beda66aa3c5dc8b45f04600f3c61e14045	TAKE	frontend/src/components/layout/AppSidebar.vue;frontend/src/components/layout/__tests__/AppSidebar.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
a16070ccf62200674d51ad2fb3ae58ba50b013d3	f5dfb32a006db5f31e3755f4fad32688ac6268f4	TAKE	frontend/src/components/TurnstileWidget.vue;frontend/src/components/__tests__/TurnstileWidget.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
017cc62e41f3acde713b18f71d7c45e7faf7a385	f6532d57493cecb5f6e7749a981c133e2951f0e1	TAKE	frontend/src/views/auth/RegisterView.vue;frontend/src/views/auth/__tests__/RegisterView.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
3aeab296d8ec9a07bdaacdab80cfcaf011f6c15d	e5d222e9a8cfe779be0cf9ad959246130146e690	TAKE	frontend/src/styles/onboarding.css;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
dc6b318c343dfc4e7b5cb2a4c4b4b6455b23237a	2a6bcdf6de4c9bafe0e00d0f1816c04f249c533d	TAKE	frontend/src/views/user/UsageView.vue;frontend/src/views/user/__tests__/UsageView.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
76efc52fb6ca8a88b3eb1c7a643426a3e210c60c	02a64efef71dc1408011006308f77c793bb96a8b	TAKE	frontend/src/views/user/CustomPageView.vue;frontend/src/views/user/__tests__/CustomPageView.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
8c8fd6e298521f1032a739d42cb0acdf0b8a1522	f519f8d6e6c60aba201443116284917b680f458b	TAKE	frontend/src/views/admin/SubscriptionsView.vue;frontend/src/views/admin/__tests__/SubscriptionsView.userUsageLink.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
dfb3978b9d95c174b3402da0f8f5358ae29a9388	12c4922c1a39e714208b0c2a597ffb900a336d64	TAKE	frontend/src/views/user/PaymentView.vue;frontend/src/views/user/__tests__/PaymentView.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
7f0f579bb0a4e71c2041e9ff1fc16de4b1883fac	9fc9940d688b6f6d6b870e2e367cd44e94c5cf93	TAKE	frontend/src/views/admin/AccountsView.vue;frontend/src/views/admin/__tests__/AccountsView.selectAllResults.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
6c8ad0bd4a05914065c4cd22800e6624eac32b73	73c23ef78d2de94369bd6f65093a9dd91f62b1ab	TAKE	frontend/src/views/auth/LoginView.vue;frontend/src/views/auth/__tests__/LoginView.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
188e3a9f90498ce6104ce0158486f34f9b57b9d7	cf0ff282adde825dcef83ec88ddd31a79b8fe867	TAKE	frontend/src/api/__tests__/admin.proxies.spec.ts;frontend/src/api/admin/proxies.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
fd880839f624366e7d648d7a8de62f6ef69e65a8	b40f9b8eed37510a121f43f385fb5175ad00a601	TAKE	frontend/src/components/admin/usage/UsageTable.vue;frontend/src/components/admin/usage/__tests__/UsageTable.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
266ac9c11b39b181cc4225ab888a72a4ec8e1c60	a35a1e65ee85f189cb5a3e30f64748795cc1c7cb	TAKE	frontend/src/views/admin/ops/components/OpsErrorDetailsModal.vue;frontend/src/views/admin/ops/components/OpsErrorLogTable.vue;frontend/src/views/admin/ops/components/__tests__/OpsErrorLogTable.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
b9d0728687ba815b44f9297c87285cc163d5a335	8d0d618cb08e717a1ab957a5960aa342f57a7653	TAKE	frontend/src/views/admin/RedeemView.vue;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
58e6e6b325deb09878638c4261539782c454bd82	ba8320f1adafd162f0cd17f9596a8c5a8cb0a1f1	TAKE	frontend/src/i18n/locales/en/admin/channels.ts;frontend/src/i18n/locales/zh/admin/channels.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
8c56eabcdc105e56546ef76c1343f04371e577e9	6b2a97d994f03b23ea1cf94bedbe89f9578c703a	TAKE	frontend/src/views/user/PaymentView.vue;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
9b6a49b8e70ae65fff231a27aba2307946aaa965	d1d3261cba7af362d6e938325efce7e12ffa6a73	TAKE	frontend/src/components/user/profile/ProfileEditForm.vue;frontend/src/components/user/profile/ProfilePasswordForm.vue;frontend/src/components/user/profile/__tests__/ProfileEditForm.spec.ts;frontend/src/components/user/profile/__tests__/ProfilePasswordForm.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
961d9e94f38896c38faf73210a9527d609dc1b5a	6c8d07620f7ce3746e39b4ef75e72013bb707363	TAKE	frontend/src/__tests__/integration/proxy-data-import.spec.ts;frontend/src/components/admin/proxy/ImportDataModal.vue;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
a65d476f25ddcd5ef961f18b80fc640cb7341ecd	f8ead81cfca0d46915ed6fb405903a67524f3320	TAKE	frontend/src/views/user/KeysView.vue;frontend/src/views/user/__tests__/KeysView.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
3645ce5f43c6f4c6b5732d05bed1f718fd442810	1011064bce65bbfe15b06799957320ba430fd8eb	TAKE	frontend/src/components/user/profile/ProfileBalanceNotifyCard.vue;frontend/src/components/user/profile/__tests__/ProfileBalanceNotifyCard.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
bb0b50d8bc4e10adfe218a68ab567ee4983d4d11	e805ec2264e0302e7f77b4a90e82491404482f41	TAKE	frontend/src/i18n/locales/en/dashboard.ts;frontend/src/i18n/locales/zh/dashboard.ts;frontend/src/views/user/RedeemView.vue;frontend/src/views/user/__tests__/RedeemView.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
06af9f871c8081c9c13c6d3ffc6c482ebef80101	21f278a0f2336d16b89217c431b612b78be294b5	TAKE	frontend/src/composables/useAutoRefresh.ts;frontend/src/views/user/ChannelStatusV1View.vue;frontend/src/views/user/__tests__/ChannelStatusV1View.refresh.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
21532add46331a54d03493871abafc6c9662f309	63dbc12fdee06d353ab6a690749e50302feab760	TAKE	frontend/src/views/user/UserOrdersView.vue;frontend/src/views/user/__tests__/UserOrdersView.filters.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
0ed735d3bae80c6dcf04d329ded055747240ce82	f9c290a26d424b20845420f749197ed404f10a8d	TAKE	frontend/src/components/common/ProxySelector.vue;frontend/src/components/common/__tests__/ProxySelector.testing.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
14636d2f0e674601b4ad77458f7ad8cf658a92d9	8f231f8c37c2d9f807c04dd3613012f1c2cb46a8	TAKE	frontend/src/components/user/profile/TotpDisableDialog.vue;frontend/src/components/user/profile/TotpSetupModal.vue;frontend/src/components/user/profile/__tests__/Totp.errors.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
6a4938bdfb23606a0d319205ca54cd9a357e5cc0	5dfe579782bed23ff29df14d9f720761529bd6e9	TAKE	frontend/src/stores/__tests__/announcements.markAll.spec.ts;frontend/src/stores/announcements.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
130ba634adbd16aca2303945f0a8fdcbbfef235f	66ee93365667e19c96922c5fb40dc0b6220ff9f6	TAKE	frontend/src/composables/__tests__/useClipboard.spec.ts;frontend/src/composables/useClipboard.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
ee9ac3e45fc6226ccd1e824ad2cd5247853553a8	e58a140dae523496f1aca57e7354a5998074e54d	TAKE	frontend/src/components/user/profile/TotpSetupModal.vue;frontend/src/components/user/profile/__tests__/TotpSetupModal.inputs.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
98321a054ed41c65058966d1d7d705d93dfe902e	cec55391cb916fb92661ecf4ff4c92a64963b5cb	TAKE	frontend/src/components/payment/AmountInput.vue;frontend/src/components/payment/__tests__/AmountInput.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
0838e0e6107fc7fb5b64d4ba9a4456120e8031eb	573a5d6467509c672de898c3534ce60904b32887	TAKE	frontend/src/components/admin/user/UserPlatformQuotaModal.vue;frontend/src/components/admin/user/__tests__/UserPlatformQuotaModal.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
f8e5a0d94f811fad399d02bdd97aeefc7dc1a284	78c159311c125741abe5e78793f4f2408d1f54bf	TAKE	frontend/src/components/admin/channel/ModelTagInput.vue;frontend/src/components/admin/channel/__tests__/ModelTagInput.keyboard.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
017e9e98d1bb5a752da7d27e8304fdd478a3245b	9af2644be23679ab194214cbd76c6af75cfe2ce7	TAKE	frontend/src/components/admin/payment/AdminRefundDialog.vue;frontend/src/components/admin/payment/__tests__/AdminRefundDialog.balance.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
be313735dc32f547f220e5592e160f9122f458f2	4d65b2fda33176e4925f53ff1ce38884718fd28b	TAKE	frontend/src/components/common/BaseDialog.vue;frontend/src/components/common/__tests__/BaseDialog.ids.spec.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
b51f0759d4a15bea6071d22387069969f73e3453	76311bb8e484de191ec47cce772d11868b954775	TAKE	frontend/src/stores/__tests__/payment.config.spec.ts;frontend/src/stores/payment.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
406be7c51888cf8067eb9ceb30dfd340d7eef51b	4671d22ef294b8a66951bb67b34cc658b9a3d3a1	TAKE	frontend/src/stores/__tests__/subscriptions.clear.spec.ts;frontend/src/stores/subscriptions.ts;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
a9c7c6e8bf2c9576aad024dcb2452e47fc45d703	60e0a5e3e2968564d09edd24e79da54c221884ea	TAKE	frontend/src/components/layout/AppHeader.vue;	32 changed test files / 223 tests passed; ESLint and vue-tsc passed; no production build yet
d03c42d7986cad7170d9e4751852287e84ec3374	11f50eb9bd052595c8131c1fe57d3183099c1a77	TAKE	frontend/src/components/modelPlaza/PlazaModelPricingTable.vue;	Isolated cherry-pick applied cleanly; PlazaModelPricingTable + PlazaGroupSection focused Vitest: 2 files / 33 tests passed; vue-tsc --noEmit and git diff --check passed; ESLint blocked by missing vue-eslint-parser symlink in scratch dependency tree; no June files or lockfiles changed
c76db386c066e35ec147645ec05dc4aa9dabaef2	fad3efd4b2125840b7419535f88f96f13cd5ec3d	TAKE	frontend/src/views/admin/SubscriptionsView.vue;frontend/src/views/admin/__tests__/SubscriptionsView.userUsageLink.spec.ts;	Isolated cherry-pick applied cleanly; focused Vitest 1 file / 4 tests passed; vue-tsc --noEmit and git diff --check passed; no June files or lockfiles changed
fe36f4a9149bedf06fa40b195e144a257bf6c5a3	86c12166ae61d3811c46fbe41cb60d049db84c3e	TAKE	frontend/src/views/auth/RegisterView.vue;frontend/src/views/auth/__tests__/RegisterView.spec.ts;	Isolated cherry-pick applied cleanly; focused Vitest 1 file / 11 tests passed; vue-tsc --noEmit and git diff --check passed; existing password-confirmation behavior preserved; no June files or lockfiles changed
55a95d4c674f0624fad1c31ee4afd0ec03e2a53f		DEFER / HAND-MERGE	frontend/src/i18n/locales/en/dashboard.ts;frontend/src/i18n/locales/zh/dashboard.ts;frontend/src/utils/keyGroupProviders.ts;frontend/src/views/user/KeysView.vue;frontend/src/views/user/__tests__/KeysView.spec.ts;	Focused Vitest passed 18 tests, but vue-tsc failed because minimax is absent from the candidate GroupPlatform union. The candidate also lacks MiniMax/OpenCode in platform catalogs/icons/colors and backend group validation; full support is a separate broad contract, so do not port this UI alone.
994192ef4f22baf546c032f557bfb6d14b1dcaf4	05124f29af51571464954fef6321e0a74ca6ec3d	TAKE (dependent)	frontend/src/api/admin/accounts.ts;frontend/src/types/index.ts;	Promoted after backend compact DTO; narrowed list/listWithEtag response types to AccountListItem while preserving local account/referral/eligibility fields; vue-tsc and existing AccountsView tests passed
db15e0090aace48e62f952c6a294f38048cf6288	be020af36208301b77a414af5a9e6e54f4febbcd	TAKE (dependent)	frontend/src/views/admin/AccountsView.vue;frontend/src/views/admin/__tests__/AccountsView.lite.spec.ts;	Promoted after 994192ef4; lite test 5/5 and existing AccountsView tests 35/35 passed; vue-tsc and git diff --check passed; full-detail fetch preserved for edit/test/stats actions
aa556c372f85f0f5d41398d80d5972e53f708c16		SKIP (already represented)	frontend/src/components/layout/AppSidebar.vue;frontend/src/components/layout/__tests__/AppSidebar.spec.ts	Candidate already contains equivalent ancestor commit 7c9627beda with identical patch-id c5de831a; reapplying fails at the same sidebar hunk. Existing mirror verification covered sidebar tests, ESLint, and vue-tsc.
983a3db3afc0a7f08b51e4e3091b0c75801b6a6f		DEFER (mixed backend/frontend)	backend/internal/pkg/openai/constants.go;backend/internal/pkg/openai/constants_test.go;backend/internal/service/billing_service.go;backend/internal/service/openai_codex_models_service.go;backend/internal/service/openai_codex_models_service_test.go;backend/internal/service/openai_model_alias.go;backend/internal/service/upstream_models.go;backend/internal/service/upstream_models_test.go;frontend/src/components/account/CreateAccountModal.vue;frontend/src/components/account/EditAccountModal.vue;frontend/src/components/account/ModelWhitelistSelector.vue;frontend/src/components/account/__tests__/ModelWhitelistSelector.spec.ts;frontend/src/composables/useModelWhitelist.ts;frontend/src/composables/__tests__/useModelWhitelist.spec.ts;frontend/src/i18n/locales/en/admin/accounts.ts;frontend/src/i18n/locales/zh/admin/accounts.ts	Introduces the upstream_model_metadata_partial/GPT-6 Astra contract across backend and frontend. Existing candidate GPT-6 aliases and account/localization customizations overlap; defer to the serial capability-sync lane rather than cherry-picking frontend pieces alone.
983a3db3afc0a7f08b51e4e3091b0c75801b6a6f	0d48568edee76bdc207de0e701449bf1eeb6916d	TAKE (serial mixed lane)	frontend/src/components/account/CreateAccountModal.vue;frontend/src/components/account/EditAccountModal.vue;frontend/src/components/account/ModelWhitelistSelector.vue;frontend/src/components/account/__tests__/ModelWhitelistSelector.spec.ts;frontend/src/composables/useModelWhitelist.ts;frontend/src/i18n/locales/en/admin/accounts.ts;frontend/src/i18n/locales/zh/admin/accounts.ts	Promoted with the backend capability-sync contract; preserved local GPT-6 alias/account-modal customizations. Focused ModelWhitelistSelector/useModelWhitelist tests: 21 passed; vue-tsc passed. No June inferno-frontend or design-system files changed.
3c53ba01a7747d7f40302bd15e1d92c908fddbad	3f73489edc4c9f95f31ed0e6e57b12deecbc45d7	TAKE (serial mixed image lane)	frontend/src/components/account/CreateAccountModal.vue;frontend/src/components/account/EditAccountModal.vue;frontend/src/components/account/__tests__/CreateAccountModal.spec.ts;frontend/src/components/account/__tests__/EditAccountModal.spec.ts;frontend/src/i18n/locales/en/admin/accounts.ts;frontend/src/i18n/locales/zh/admin/accounts.ts	Image-toggle UI was hand-merged with the candidate account surfaces. Unrelated upstream-request-ID context was omitted because the candidate has no matching state/helper. Account-modal Vitest: 81 passed; vue-tsc passed; ESLint was blocked by the existing missing vue-eslint-parser dependency symlink.
7f0f579bb0a4e71c2041e9ff1fc16de4b1883fac		SKIP (already represented)	frontend/src/views/admin/AccountsView.vue;frontend/src/views/admin/__tests__/AccountsView.selectAllResults.spec.ts	Failed token-refresh selection is already represented in the candidate; AccountsView select-all tests passed 5/5.
28f673e4cde06ed68fc56c1718b6ac6776bef311	5a6c593af7550195fc8bf2c27224641e95da1723	SPLIT (backend TAKE; June frontend defer)	frontend/src/i18n/locales/en/admin/overview.ts;frontend/src/i18n/locales/zh/admin/overview.ts;frontend/src/views/admin/GroupsView.vue;frontend/src/views/admin/__tests__/groupsModelsListLayout.spec.ts	The frontend custom-model-list label/test touches the protected June GroupsView and locale contract. Backend native custom-list handling was promoted separately as `5a6c593af`; frontend remains reserved for June-surface hand merge.
df64b5f368cce77b5ebc32a86084dd1f8dd40dbf	05da43ff86820b89cc5b01e476806858ee9c283c	TAKE	frontend/src/components/admin/account/AccountActionMenu.vue;frontend/src/components/admin/account/__tests__/AccountActionMenu.position.spec.ts;frontend/src/views/admin/AccountsView.vue;frontend/src/views/admin/__tests__/AccountsView.lite.spec.ts;frontend/src/components/admin/account/__tests__/AccountActionMenu.sparkShadow.spec.ts	Account action menu now measures rendered dimensions and stays within viewport bounds. Isolated focused Vitest: 27 tests passed; vue-tsc and diff-check passed. No backend, OAuth, WebSocket, June `inferno-frontend`, or design-system paths changed.
b1ce821c497adabcdce6631577134b6ac23040ec	5a51306a16bf3a7b802cd0e395fb9d8819031620	HAND-MERGE (June/custom GroupsView)	frontend/src/views/admin/GroupsView.vue;frontend/src/views/admin/__tests__/GroupsView.codexManifest.spec.ts	Replaced direct v-model on the reactive manifest config with model-value/Object.assign to preserve consecutive child updates. Adapted candidate-native regression mock in follow-up `2162e6c43`. Focused GroupsView/CodexManifest tests: 10 passed; vue-tsc passed; no backend, OAuth, WebSocket, June `inferno-frontend`, design-system, or lockfile paths changed.
65246e69d72159f515b9b9d6c60f92bed8434d9b		SKIP (merge wrapper; represented by b1ce821c4)	frontend/src/views/admin/GroupsView.vue	Merge wrapper for the same reactive-v-model fix; no separate code beyond `b1ce821c4`.
00eabe8ab9dd9de16cf07f62a165b98671c40a97	5bcb2f79648f605c3f998c10ed92797b217fd1c9	TAKE	frontend/src/components/account/CreateAccountModal.vue;frontend/src/components/account/EditAccountModal.vue;frontend/src/components/account/__tests__/CreateAccountModal.spec.ts;frontend/src/components/account/__tests__/EditAccountModal.spec.ts;frontend/src/components/account/__tests__/accountExpiry.spec.ts;frontend/src/components/account/accountExpiry.ts	Adds calendar-month account expiry presets with month-end clamping and preserves manual override/clear behavior. Isolated focused Vitest: 90 tests passed; vue-tsc and diff-check passed; no backend, OAuth, WebSocket, June `inferno-frontend`, design-system, or lockfile paths changed.
f3bbb95310fe01ef29f5f86f7b7eeea991cc443e		DEFER / HAND-MERGE (custom GroupsView)	frontend/src/components/admin/group/CodexManifestAccountsField.vue;frontend/src/views/admin/GroupsView.vue;frontend/src/views/admin/__tests__/GroupsView.duplicate.spec.ts	The wholesale toggle refactor removes 471 lines and crosses locally customized model-allowlist/model-list and async allow_live behavior; git apply --check fails at the customized GroupsView hunk. Only the narrow b1ce821c4 reactive-binding fix was promoted. Future port must isolate the shared Toggle conversion and adapt tests.
a16070ccf62200674d51ad2fb3ae58ba50b013d3		SKIP (already represented)	frontend/src/components/TurnstileWidget.vue;frontend/src/components/__tests__/TurnstileWidget.spec.ts	Equivalent candidate commit f5dfb32a006db5f31e3755f4fad32688ac6268f4 has identical patch ID; Turnstile focused tests are covered by the existing frontend audit.
